-5.98043,-5.46174,1.15869,0.927101,1,-5.67801,-6.92864,1.24078,1.6183,1
-6.22935,-4.02391,1.50612,1.9528,1,-5.98043,-5.46174,1.15869,0.927101,1
-4.94936,-3.24265,1.47062,-1.89027,1.00306,-6.22935,-4.02391,1.50612,1.9528,1
-7.15181,-2.84751,1.38305,2.79397,1,-6.22935,-4.02391,1.50612,1.9528,1
-3.968,-2.16314,1.81933,2.08841,1.00311,-4.94936,-3.24265,1.47062,-1.89027,1.00306
-2.57305,-1.88721,2.29681,1.2313,1.00311,-3.968,-2.16314,1.81933,2.08841,1.00311
-1.50307,-2.8519,1.87905,-0.980186,1.00311,-2.57305,-1.88721,2.29681,1.2313,1.00311
-0.122472,-2.74311,2.45533,-1.0052,1.00311,-1.50307,-2.8519,1.87905,-0.980186,1.00311
-6.24028,-5.66904,2.6214,2.89739,1,-5.98043,-5.46174,1.15869,0.927101,1
0.578025,-1.41816,2.39363,0.463271,1.00311,-0.122472,-2.74311,2.45533,-1.0052,1.00311
1.17489,-3.46613,2.66532,-0.965835,1.00311,-0.122472,-2.74311,2.45533,-1.0052,1.00311
-4.60246,-0.81104,1.95815,-1.87981,1.00313,-3.968,-2.16314,1.81933,2.08841,1.00311
-4.57723,0.657162,2.26433,2.00185,1.00313,-4.60246,-0.81104,1.95815,-1.87981,1.00313
2.46273,-3.33994,3.42396,1.52115,1.00311,1.17489,-3.46613,2.66532,-0.965835,1.00311
3.73542,-2.5797,3.19527,0.771874,1.00311,2.46273,-3.33994,3.42396,1.52115,1.00311
